DATE	Yandex.ACTIVITY.points
2021-02-04	80
2021-02-05	78
2021-02-06	41
2021-02-07	29
2021-02-08	80
2021-02-09	81
2021-02-10	79
2021-02-11	80
2021-02-12	79
2021-02-13	43
2021-02-14	32
2021-02-15	80
2021-02-16	82
2021-02-17	81
2021-02-18	79
2021-02-19	82
2021-02-20	76
2021-02-21	38
2021-02-22	39
2021-02-23	28
2021-02-24	82
2021-02-25	84
2021-02-26	83
2021-02-27	46
2021-02-28	33
2021-03-01	84
2021-03-02	87
2021-03-03	86
2021-03-04	87
2021-03-05	86
2021-03-06	52
2021-03-07	42
2021-03-08	34
2021-03-09	83
2021-03-10	84
2021-03-11	85
2021-03-12	85
2021-03-13	45
2021-03-14	33
2021-03-15	85
2021-03-16	88
2021-03-17	88
2021-03-18	87
2021-03-19	86
2021-03-20	47
2021-03-21	35
2021-03-22	83
2021-03-23	86
2021-03-24	87
2021-03-25	86
2021-03-26	84
2021-03-27	53
2021-03-28	43
2021-03-29	92
2021-03-30	90
2021-03-31	89
2021-04-01	93
2021-04-02	91
2021-04-03	51
2021-04-04	38
2021-04-05	90
2021-04-06	91
2021-04-07	92
2021-04-08	91
2021-04-09	92
2021-04-10	53
2021-04-11	46
2021-04-12	96
2021-04-13	96
2021-04-14	94
2021-04-15	95
2021-04-16	95
2021-04-17	61
2021-04-18	48
2021-04-19	95
2021-04-20	97
2021-04-21	91
2021-04-22	96
2021-04-23	94
2021-04-24	57
2021-04-25	39
2021-04-26	91
2021-04-27	94
2021-04-28	95
2021-04-29	97
2021-04-30	97
2021-05-01	51
2021-05-02	46
2021-05-03	45
2021-05-04	66
2021-05-05	71
2021-05-06	67
2021-05-07	68
2021-05-08	46
2021-05-09	48
2021-05-10	47
2021-05-11	100
2021-05-12	100
2021-05-13	100
2021-05-14	100
2021-05-15	65
2021-05-16	51
2021-05-17	100
2021-05-18	100
2021-05-19	100
2021-05-20	100
2021-05-21	97
2021-05-22	64
2021-05-23	41
2021-05-24	96
2021-05-25	99
2021-05-26	92
2021-05-27	98
2021-05-28	97
2021-05-29	63
2021-05-30	53
2021-05-31	97
2021-06-01	100
2021-06-02	99
2021-06-03	100
2021-06-04	100
2021-06-05	68
2021-06-06	57
2021-06-07	100
2021-06-08	100
2021-06-09	100
2021-06-10	100
2021-06-11	99
2021-06-12	62
2021-06-13	54
2021-06-14	62
2021-06-15	98
2021-06-16	99
2021-06-17	99
2021-06-18	98
2021-06-19	66
2021-06-20	53
2021-06-21	95
2021-06-22	94
2021-06-23	93
2021-06-24	95
2021-06-25	94

# Retrieved from https://yandex.ru/company/researches/2020/cities-activity; accessed: 2021-06-07;
