"DATE"	"TESTS"
2021-02-16	18918
2021-02-17	23902
2021-02-18	22885
2021-02-19	22642
2021-02-20	22941
2021-02-21	14457
2021-02-22	11579
2021-02-23	7408
2021-02-24	11623
2021-02-25	18953
2021-02-26	26358
2021-02-27	20337
2021-02-28	14790
2021-03-01	14328
2021-03-02	22130
2021-03-03	23641
2021-03-04	23520
2021-03-05	23052
2021-03-06	19005
2021-03-07	12608
2021-03-08	5915
2021-03-09	10740
2021-03-10	19164
2021-03-11	22946
2021-03-12	25425
2021-03-13	20691
2021-03-14	11891
2021-03-15	12520
2021-03-16	18778
2021-03-17	26317
2021-03-18	24315
2021-03-19	24330
2021-03-20	20722
2021-03-21	11245
2021-03-22	12150
2021-03-23	18731
2021-03-24	22521
2021-03-25	21025
2021-03-26	20236
2021-03-27	18533
2021-03-28	12853
2021-03-29	12351
2021-03-30	23601
2021-04-01	22405
2021-04-02	22979
2021-04-03	19542
2021-04-04	12591
2021-04-05	12361
2021-04-06	17869
2021-04-07	23095
2021-04-08	21648
2021-04-09	21088
2021-04-10	18056
2021-04-11	11153
2021-04-12	12542
2021-04-13	18671
2021-04-14	23012
2021-04-15	20538
2021-04-16	22627
2021-04-17	18082
2021-04-18	11162
2021-04-19	12732
2021-04-20	16660
2021-04-21	23651
2021-04-22	20410
2021-04-23	21186
2021-04-24	17035
2021-04-25	13892
2021-04-26	11956
2021-04-27	18894
2021-04-28	22902
2021-04-29	23489
2021-04-30	24167
2021-05-01	18746
2021-05-02	8648
2021-05-03	11203
2021-05-04	9199
2021-05-05	15894
2021-05-06	17470
2021-05-07	19646
2021-05-08	16210
2021-05-09	12678
2021-05-10	10772
2021-05-11	15986
2021-05-12	22201
2021-05-13	30133
2021-05-14	27582
2021-05-15	23964
2021-05-16	15010
2021-05-17	12955
2021-05-18	18333
2021-05-19	25647
2021-05-20	24114
2021-05-21	23272
2021-05-22	23488
2021-05-23	14176
2021-05-24	13842
2021-05-25	20157
2021-05-26	26832
2021-05-27	25190
2021-05-28	26263
2021-05-29	23735
2021-05-30	15928
2021-05-31	17334
2021-06-01	21582
2021-06-02	28719
2021-06-03	27300
2021-06-04	27158
2021-06-05	25671
2021-06-06	17188
2021-06-07	19117
2021-06-08	24254
2021-06-09	31168
2021-06-10	31673
2021-06-11	35378
2021-06-12	27797
2021-06-13	21610
2021-06-14	16502
2021-06-15	23262
2021-06-16	31264
